UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
210784,2,  1,"R",299,"R",16,"R",283,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6,"R",102,"R",6,"R",96,"R",30,"R",3,"R",27,"Z",0,"Z",0,"Z",0,"R",149,"R",6,"R",143,"R",6,"Z",0,"R",6,"R",6,"R",1,"R",5,"Z",0,"Z",0,"Z",0
210809,1,999,"R",14668,"R",10561,"R",4107,"R",58,"R",35,"R",23,"R",349,"R",213,"R",136,"R",486,"R",303,"R",183,"R",168,"R",123,"R",45,"R",16,"R",8,"R",8,"R",6665,"R",4959,"R",1706,"R",123,"R",88,"R",35,"R",6803,"R",4832,"R",1971,"R",0,"R",0,"R",0
210809,2,  1,"R",13805,"R",10001,"R",3804,"R",55,"R",32,"R",23,"R",335,"R",206,"R",129,"R",459,"R",284,"R",175,"R",163,"R",120,"R",43,"R",16,"R",8,"R",8,"R",6315,"R",4704,"R",1611,"R",116,"R",82,"R",34,"R",6346,"R",4565,"R",1781,"R",0,"R",0,"R",0
210809,4,  3,"R",863,"R",560,"R",303,"R",3,"R",3,"R",0,"R",14,"R",7,"R",7,"R",27,"R",19,"R",8,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",350,"R",255,"R",95,"R",7,"R",6,"R",1,"R",457,"R",267,"R",190,"R",0,"R",0,"R",0
210942,1,999,"R",1146,"R",537,"R",609,"R",4,"R",2,"R",2,"R",22,"R",14,"R",8,"R",355,"R",146,"R",209,"R",188,"R",92,"R",96,"R",6,"R",4,"R",2,"R",152,"R",82,"R",70,"R",3,"R",2,"R",1,"R",391,"R",184,"R",207,"R",25,"R",11,"R",14
210942,2,  1,"R",1146,"R",537,"R",609,"R",4,"R",2,"R",2,"R",22,"R",14,"R",8,"R",355,"R",146,"R",209,"R",188,"R",92,"R",96,"R",6,"R",4,"R",2,"R",152,"R",82,"R",70,"R",3,"R",2,"R",1,"R",391,"R",184,"R",207,"R",25,"R",11,"R",14
210951,1,999,"R",217,"R",9,"R",208,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",28,"R",2,"R",26,"R",1,"R",0,"R",1,"R",0,"R",0,"Z",0,"R",186,"R",7,"R",179,"R",2,"R",0,"R",2,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0
210951,2,  1,"R",217,"R",9,"R",208,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",28,"R",2,"R",26,"R",1,"R",0,"R",1,"R",0,"R",0,"Z",0,"R",186,"R",7,"R",179,"R",2,"R",0,"R",2,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0
210960,1,999,"R",536,"R",272,"R",264,"R",10,"R",6,"R",4,"R",10,"R",4,"R",6,"R",100,"R",52,"R",48,"R",36,"R",21,"R",15,"R",2,"R",2,"R",0,"R",338,"R",176,"R",162,"R",1,"R",0,"R",1,"R",22,"R",7,"R",15,"R",17,"R",4,"R",13
210960,2,  1,"R",536,"R",272,"R",264,"R",10,"R",6,"R",4,"R",10,"R",4,"R",6,"R",100,"R",52,"R",48,"R",36,"R",21,"R",15,"R",2,"R",2,"R",0,"R",338,"R",176,"R",162,"R",1,"R",0,"R",1,"R",22,"R",7,"R",15,"R",17,"R",4,"R",13
211006,1,999,"R",468,"R",443,"R",25,"R",1,"R",1,"R",0,"R",6,"R",6,"R",0,"R",43,"R",40,"R",3,"R",109,"R",103,"R",6,"R",0,"R",0,"R",0,"R",293,"R",278,"R",15,"R",8,"R",7,"R",1,"R",8,"R",8,"R",0,"R",0,"R",0,"R",0
211006,2,  1,"R",468,"R",443,"R",25,"R",1,"R",1,"R",0,"R",6,"R",6,"R",0,"R",43,"R",40,"R",3,"R",109,"R",103,"R",6,"R",0,"R",0,"R",0,"R",293,"R",278,"R",15,"R",8,"R",7,"R",1,"R",8,"R",8,"R",0,"R",0,"R",0,"R",0
