Country of Giftor,Institution Name,ID,OPEID,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Giftor Name,Country to merge on,Rank,Score,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Regime type,Region
France,Saint John's University,9801,282300,Jamaica,NY,2014-11-12,95422,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9811,282300,Jamaica,NY,2012-04-30,95098,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9816,282300,Jamaica,NY,2017-09-28,94616,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9831,282300,Jamaica,NY,2015-05-28,94071,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9857,282300,Jamaica,NY,2014-03-21,92255,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9872,282300,Jamaica,NY,2015-01-08,91214,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9880,282300,Jamaica,NY,2012-05-24,90594,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9922,282300,Jamaica,NY,2015-01-15,89646,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9923,282300,Jamaica,NY,2014-05-28,89640,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9935,282300,Jamaica,NY,2014-09-16,88988,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9944,282300,Jamaica,NY,2013-04-25,88026,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9966,282300,Jamaica,NY,2014-08-07,86814,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9970,282300,Jamaica,NY,2016-05-10,86483,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9977,282300,Jamaica,NY,2012-03-30,86283,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9982,282300,Jamaica,NY,2018-01-29,86026,Contract,La Province Autonome En France ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9993,282300,Jamaica,NY,2013-11-27,85412,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9996,282300,Jamaica,NY,2014-01-17,85263,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,9998,282300,Jamaica,NY,2013-07-31,85131,Contract,La Province Autonome en france,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10008,282300,Jamaica,NY,2014-02-26,84765,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10018,282300,Jamaica,NY,2012-05-31,84395,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10020,282300,Jamaica,NY,2014-02-24,84389,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10024,282300,Jamaica,NY,2012-09-20,84178,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10054,282300,Jamaica,NY,2018-02-27,82532,Contract,La Province Autonome En France ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10070,282300,Jamaica,NY,2013-05-30,82123,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10076,282300,Jamaica,NY,2018-12-27,81872,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10089,282300,Jamaica,NY,2012-11-28,81659,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10103,282300,Jamaica,NY,2018-03-28,81147,Contract,La Province Autonome En France ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10105,282300,Jamaica,NY,2017-12-27,81047,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10111,282300,Jamaica,NY,2018-11-28,80540,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10117,282300,Jamaica,NY,2017-10-31,80300,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10122,282300,Jamaica,NY,2016-05-24,80193,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10123,282300,Jamaica,NY,2016-05-25,80175,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10149,282300,Jamaica,NY,2017-04-27,79926,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10151,282300,Jamaica,NY,2018-04-26,79838,Contract,La Province Autonome En France ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10152,282300,Jamaica,NY,2015-12-21,79748,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10155,282300,Jamaica,NY,2017-11-29,79584,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10160,282300,Jamaica,NY,2013-12-11,79254,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10169,282300,Jamaica,NY,2018-07-30,78970,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10171,282300,Jamaica,NY,2017-06-29,78953,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10176,282300,Jamaica,NY,2015-10-29,78809,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10177,282300,Jamaica,NY,2016-04-29,78759,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10183,282300,Jamaica,NY,2017-03-24,78613,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10194,282300,Jamaica,NY,2012-11-30,78388,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10196,282300,Jamaica,NY,2016-08-31,78367,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10215,282300,Jamaica,NY,2017-02-23,77890,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10237,282300,Jamaica,NY,2015-11-26,77120,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10248,282300,Jamaica,NY,2018-09-27,76743,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10256,282300,Jamaica,NY,2017-05-23,76447,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10259,282300,Jamaica,NY,2015-10-01,76275,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10268,282300,Jamaica,NY,2015-07-30,75972,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10269,282300,Jamaica,NY,2017-07-28,75895,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10270,282300,Jamaica,NY,2016-06-27,75892,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10288,282300,Jamaica,NY,2016-11-22,75151,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10336,282300,Jamaica,NY,2016-12-27,74296,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10348,282300,Jamaica,NY,2016-09-20,73769,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10352,282300,Jamaica,NY,2018-08-30,73570,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10357,282300,Jamaica,NY,2015-08-28,73375,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10360,282300,Jamaica,NY,2015-09-24,73200,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10362,282300,Jamaica,NY,2016-11-29,73058,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10372,282300,Jamaica,NY,2017-01-30,72642,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10377,282300,Jamaica,NY,2016-10-26,72495,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10392,282300,Jamaica,NY,2017-08-31,72041,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10409,282300,Jamaica,NY,2015-03-30,70752,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10464,282300,Jamaica,NY,2014-11-04,69382,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10472,282300,Jamaica,NY,2015-03-12,69075,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,10672,282300,Jamaica,NY,2015-01-21,61932,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11077,282300,Jamaica,NY,2013-10-21,50613,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11341,282300,Jamaica,NY,2015-07-01,48688,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11629,282300,Jamaica,NY,2015-10-29,40800,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11974,282300,Jamaica,NY,2015-04-16,14000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11989,282300,Jamaica,NY,2015-08-10,16460,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11990,282300,Jamaica,NY,2012-10-31,25860,Contract,La Province Autonome en France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11991,282300,Jamaica,NY,2015-01-21,26217,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,11993,282300,Jamaica,NY,2014-02-04,50000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12008,282300,Jamaica,NY,2015-01-21,33348,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12010,282300,Jamaica,NY,2012-10-24,69000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12012,282300,Jamaica,NY,2013-05-02,69000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12013,282300,Jamaica,NY,2013-05-29,69000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12014,282300,Jamaica,NY,2013-06-10,69000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12021,282300,Jamaica,NY,2014-02-14,69000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12022,282300,Jamaica,NY,2015-10-26,69000,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12028,282300,Jamaica,NY,2018-05-23,82163,Contract,La Province Autonome En France ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12029,282300,Jamaica,NY,2018-06-26,82163,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12034,282300,Jamaica,NY,2015-10-29,32920,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12460,282300,Jamaica,NY,2015-08-10,26000,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12608,282300,Jamaica,NY,2015-03-16,24661,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12690,282300,Jamaica,NY,2015-03-30,23135,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,12889,282300,Jamaica,NY,2015-08-04,20400,Contract,International School of Management,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,13084,282300,Jamaica,NY,2018-02-27,18265,Contract,La Province Autonome En France ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,13119,282300,Jamaica,NY,2017-05-05,17721,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,13742,282300,Jamaica,NY,2016-11-18,12140,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,13907,282300,Jamaica,NY,2018-09-14,10882,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,14202,282300,Jamaica,NY,2017-06-12,9574,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Saint John's University,14221,282300,Jamaica,NY,2017-05-05,9493,Contract,La Province Autonome En France,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,School of the Art Institute of Chicago,735,175300,Chicago,IL,2017-08-03,2265736,Contract,The Reunion des musees nationauz,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,School of the Art Institute of Chicago,12183,175300,Chicago,IL,2017-12-29,2000000,Monetary Gift,Peter Soulages,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,School of the Art Institute of Chicago,12185,175300,Chicago,IL,2018-10-10,2650000,Contract,Pontus Gallen-Kallela-Siren,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,School of the Art Institute of Chicago,12187,175300,Chicago,IL,2017-09-25,12000000,Contract,Galerie Thaddaeus Ropac,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,6263,130500,Stanford,CA,2017-07-07,278297,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,7275,130500,Stanford,CA,2018-07-05,227747,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,9168,130500,Stanford,CA,2016-09-01,116636,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,11044,130500,Stanford,CA,2017-03-03,51690,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,11511,130500,Stanford,CA,2018-02-06,43965,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12321,130500,Stanford,CA,2016-01-08,28080,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12374,130500,Stanford,CA,2016-09-06,27360,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12392,130500,Stanford,CA,2016-02-02,25860,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12393,130500,Stanford,CA,2016-04-21,25860,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12394,130500,Stanford,CA,2016-10-05,25860,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12395,130500,Stanford,CA,2018-03-05,26790,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12396,130500,Stanford,CA,2018-05-04,26790,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12397,130500,Stanford,CA,2016-08-02,26820,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12398,130500,Stanford,CA,2017-03-31,26820,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12399,130500,Stanford,CA,2017-09-06,26820,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12412,130500,Stanford,CA,2016-11-07,27780,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12413,130500,Stanford,CA,2017-05-04,27780,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12414,130500,Stanford,CA,2018-04-18,27780,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12415,130500,Stanford,CA,2018-09-07,27780,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12417,130500,Stanford,CA,2016-05-04,27810,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12418,130500,Stanford,CA,2017-08-04,27810,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12447,130500,Stanford,CA,2016-03-02,30150,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12448,130500,Stanford,CA,2016-09-07,30150,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12670,130500,Stanford,CA,2016-07-06,118000,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12841,130500,Stanford,CA,2017-03-15,150000,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,12964,130500,Stanford,CA,2017-07-31,250000,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,Stanford University,15087,130500,Stanford,CA,2016-11-18,5012,Monetary Gift,,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,University of Arizona (The),2969,108300,Tucson,AZ,2014-01-01,577000,Contract,Foundation Leducq,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,University of Arizona (The),3060,108300,Tucson,AZ,2012-03-01,554511,Contract,Centre Nationale De La Recherche Sc,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,University of Arizona (The),4134,108300,Tucson,AZ,2012-10-05,431772,Contract,Suez Environment ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,University of Arkansas,7521,110800,Fayetteville,AR,2017-06-30,201613,Contract,"Danone Research, St Ouen Cedex, Fra",France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,University of Arkansas,8595,110800,Fayetteville,AR,2016-12-31,142500,Contract,"Danone Research, St Ouen Cedex, Fra",France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,University of Arkansas,13808,110800,Fayetteville,AR,2016-06-30,325000,Contract,"Danone Research, St Ouen Cedex, Fra",France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,University of Arkansas,13825,110800,Fayetteville,AR,2016-07-31,325000,Contract,"Danone Research, St Ouen Cedex, Fra",France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",3311,131200,Berkeley,CA,2016-08-01,503000,Contract,Total S.A.,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",3905,131200,Berkeley,CA,2015-05-12,462000,Contract,Innate Pharma SAS,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",4916,131200,Berkeley,CA,2017-04-06,357500,Monetary Gift,Bouisson Bertrand Institute,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",5424,131200,Berkeley,CA,2013-04-01,321960,Contract,Human Frontier Science Program,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",6185,131200,Berkeley,CA,2013-08-22,282963,Contract,Aveva Group,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",8134,131200,Berkeley,CA,2013-04-01,162980,Contract,Human Frontier Science Program,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",13940,131200,Berkeley,CA,2015-09-01,100000,Contract,Human Frontier Science Program Orga,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",13949,131200,Berkeley,CA,2016-06-01,100000,Contract,Human Frontier Science Program Org,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",13981,131200,Berkeley,CA,2013-01-12,160980,Contract,Human Frontier Science Program,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",13982,131200,Berkeley,CA,2013-06-01,160980,Contract,Human Frontier Science Program,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",14009,131200,Berkeley,CA,2015-05-01,160980,Contract,Human Frontier Science Program Orga,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",14010,131200,Berkeley,CA,2015-06-01,160980,Contract,Human Frontier Science Program Orga,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",14016,131200,Berkeley,CA,2016-04-05,189060,Contract,Human Frontier Science Program Org,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",14026,131200,Berkeley,CA,2013-01-31,250000,Contract,Firchild Semiconductor,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",14043,131200,Berkeley,CA,2018-03-19,250000,Contract,AXA Group,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Berkeley",14129,131200,Berkeley,CA,2017-08-01,675000,Contract,Valeo SA,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Irvine",1203,131400,Irvine,CA,2014-06-09,1391795,Contract,INSERM,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Irvine",4661,131400,Irvine,CA,2018-02-02,382138,Monetary Gift,Fondation Leducq,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Irvine",6704,131400,Irvine,CA,2018-03-08,251706,Contract,Institut Natl de la santa et de la ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Irvine",14375,131400,Irvine,CA,2014-10-22,325000,Contract,Schlumberger Limited ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Irvine",14401,131400,Irvine,CA,2016-01-15,1239734,Monetary Gift,FONDATION LEDUCQ,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
France,"University of California, Irvine",14402,131400,Irvine,CA,2016-01-15,1239734,Monetary Gift,Fondation Leducq,France,20.0,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
